day,t2m_C
2023-01-01,10.3810425
2023-01-02,6.5317993
2023-01-03,8.977814
2023-01-04,12.424042
2023-01-05,11.014343
2023-01-06,8.515961
2023-01-07,10.395447
2023-01-08,7.6501465
2023-01-09,6.6540527
2023-01-10,8.977478
2023-01-11,8.106262
2023-01-12,11.308319
2023-01-13,8.676483
2023-01-14,10.108643
2023-01-15,5.8414307
2023-01-16,3.3516846
2023-01-17,-1.3092346
2023-01-18,1.3356628
2023-01-19,1.105072
2023-01-20,3.3769531
2023-01-21,1.866394
2023-01-22,-0.94525146
2023-01-23,-0.28756714
2023-01-24,2.4610596
2023-01-25,1.0189819
2023-01-26,5.3869324
2023-01-27,5.3774414
2023-01-28,3.8190308
2023-01-29,6.1311035
2023-01-30,7.372223
2023-01-31,8.540558
2023-02-01,7.5947266
2023-02-02,8.735901
2023-02-03,10.077515
2023-02-04,8.226135
2023-02-05,5.371155
2023-02-06,4.735901
2023-02-07,2.9464722
2023-02-08,1.8886108
2023-02-09,5.226166
2023-02-10,4.0517273
2023-02-11,8.774353
2023-02-12,7.578186
2023-02-13,7.572815
2023-02-14,6.77948
2023-02-15,8.517151
2023-02-16,10.028992
2023-02-17,12.016846
2023-02-18,11.576355
2023-02-19,9.813416
2023-02-20,9.860596
2023-02-21,8.042908
2023-02-22,7.45578
2023-02-23,6.588684
2023-02-24,5.752838
2023-02-25,5.2905884
2023-02-26,4.9672546
2023-02-27,4.7110596
2023-02-28,4.913727
2023-03-01,5.567444
2023-03-02,5.3936462
2023-03-03,5.1000977
2023-03-04,5.2561646
2023-03-05,3.5588074
2023-03-06,5.6760254
2023-03-07,3.3219604
2023-03-08,1.3538208
2023-03-09,6.0295105
2023-03-10,3.3443604
2023-03-11,3.9776611
2023-03-12,10.286987
2023-03-13,12.457581
2023-03-14,6.052307
2023-03-15,4.86084
2023-03-16,11.1154785
2023-03-17,11.500061
2023-03-18,10.860962
2023-03-19,8.292053
2023-03-20,10.259949
2023-03-21,11.543213
2023-03-22,11.805359
2023-03-23,11.644348
2023-03-24,10.734619
2023-03-25,11.275452
2023-03-26,7.963379
2023-03-27,7.449585
2023-03-28,7.2175903
2023-03-29,11.645691
2023-03-30,12.945587
2023-03-31,10.957703
2023-04-01,8.985382
2023-04-02,8.193481
2023-04-03,8.29538
2023-04-04,9.1345215
2023-04-05,8.6571045
2023-04-06,11.164978
2023-04-07,10.624603
2023-04-08,10.349213
2023-04-09,11.14859
2023-04-10,11.888123
2023-04-11,9.723114
2023-04-12,7.979553
2023-04-13,9.916199
2023-04-14,8.449524
2023-04-15,11.021118
2023-04-16,12.190216
2023-04-17,12.660614
2023-04-18,9.868439
2023-04-19,12.026855
2023-04-20,11.34082
2023-04-21,8.152985
2023-04-22,10.026672
2023-04-23,11.4696045
2023-04-24,8.977234
2023-04-25,7.862549
2023-04-26,8.972107
2023-04-27,10.68808
2023-04-28,14.210205
2023-04-29,13.742737
2023-04-30,13.652161
2023-05-01,13.645508
2023-05-02,12.053284
2023-05-03,11.950897
2023-05-04,15.4157715
2023-05-05,15.343658
2023-05-06,13.142548
2023-05-07,15.81012
2023-05-08,13.339783
2023-05-09,14.784546
2023-05-10,14.482239
2023-05-11,14.48291
2023-05-12,11.38443
2023-05-13,11.838135
2023-05-14,13.950806
2023-05-15,12.896637
2023-05-16,13.622437
2023-05-17,14.600403
2023-05-18,15.707611
2023-05-19,13.9747925
2023-05-20,15.578949
2023-05-21,15.517151
2023-05-22,15.591736
2023-05-23,14.789612
2023-05-24,16.770447
2023-05-25,15.551697
2023-05-26,14.962158
2023-05-27,15.513855
2023-05-28,17.482727
2023-05-29,14.107483
2023-05-30,13.699005
2023-05-31,14.3172
2023-06-01,13.800262
2023-06-02,13.828552
2023-06-03,16.66504
2023-06-04,17.350891
2023-06-05,14.275574
2023-06-06,13.724304
2023-06-07,15.938049
2023-06-08,16.67865
2023-06-09,19.334595
2023-06-10,24.210205
2023-06-11,24.400787
2023-06-12,23.30957
2023-06-13,23.333984
2023-06-14,22.368774
2023-06-15,22.547668
2023-06-16,22.68515
2023-06-17,20.923523
2023-06-18,21.137085
2023-06-19,20.495667
2023-06-20,19.986572
2023-06-21,21.203918
2023-06-22,22.60199
2023-06-23,22.342743
2023-06-24,22.934448
2023-06-25,25.931152
2023-06-26,19.758636
2023-06-27,19.107666
2023-06-28,20.495422
2023-06-29,18.054565
2023-06-30,16.738342
2023-07-01,18.801025
2023-07-02,17.762024
2023-07-03,16.87857
2023-07-04,15.642242
2023-07-05,16.64627
2023-07-06,18.409485
2023-07-07,23.88385
2023-07-08,22.70813
2023-07-09,19.223236
2023-07-10,20.151917
2023-07-11,19.623627
2023-07-12,18.843323
2023-07-13,18.452087
2023-07-14,16.604584
2023-07-15,18.410126
2023-07-16,18.028625
2023-07-17,18.82602
2023-07-18,18.848572
2023-07-19,19.50595
2023-07-20,18.907104
2023-07-21,17.115051
2023-07-22,15.373474
2023-07-23,20.030518
2023-07-24,15.967773
2023-07-25,16.809662
2023-07-26,18.110168
2023-07-27,19.297577
2023-07-28,19.38919
2023-07-29,19.776428
2023-07-30,17.647766
2023-07-31,18.18512
2023-08-01,18.681824
2023-08-02,17.13205
2023-08-03,18.250519
2023-08-04,17.351624
2023-08-05,14.739532
2023-08-06,16.085175
2023-08-07,17.738037
2023-08-08,15.3526
2023-08-09,19.285187
2023-08-10,22.139038
2023-08-11,21.73761
2023-08-12,19.044006
2023-08-13,19.083466
2023-08-14,18.625793
2023-08-15,19.168884
2023-08-16,20.665527
2023-08-17,20.421753
2023-08-18,20.130676
2023-08-19,20.59314
2023-08-20,20.5401
2023-08-21,19.886444
2023-08-22,20.91153
2023-08-23,21.011383
2023-08-24,20.541138
2023-08-25,17.713593
2023-08-26,16.303406
2023-08-27,16.38974
2023-08-28,16.950684
2023-08-29,17.191956
2023-08-30,15.900513
2023-08-31,14.4470215
2023-09-01,18.789368
2023-09-02,20.295135
2023-09-03,20.561768
2023-09-04,23.48642
2023-09-05,23.585388
2023-09-06,24.190247
2023-09-07,25.361572
2023-09-08,25.141357
2023-09-09,26.69983
2023-09-10,25.1669
2023-09-11,21.48236
2023-09-12,19.734283
2023-09-13,17.070953
2023-09-14,19.067688
2023-09-15,19.954102
2023-09-16,20.760193
2023-09-17,18.280273
2023-09-18,17.690125
2023-09-19,17.151428
2023-09-20,18.034607
2023-09-21,14.918549
2023-09-22,14.024658
2023-09-23,14.203217
2023-09-24,17.764679
2023-09-25,18.661377
2023-09-26,18.997528
2023-09-27,18.391327
2023-09-28,16.473877
2023-09-29,17.027557
2023-09-30,15.459778
2023-10-01,19.69394
2023-10-02,17.657898
2023-10-03,15.265564
2023-10-04,14.814362
2023-10-05,15.902771
2023-10-06,17.578186
2023-10-07,19.324493
2023-10-08,19.092957
2023-10-09,19.129028
2023-10-10,17.908844
2023-10-11,18.0513
2023-10-12,14.054321
2023-10-13,18.504059
2023-10-14,10.694
2023-10-15,7.8171387
2023-10-16,8.486938
2023-10-17,12.227234
2023-10-18,12.325134
2023-10-19,16.801788
2023-10-20,14.644867
2023-10-21,13.375244
2023-10-22,11.540802
2023-10-23,12.166077
2023-10-24,11.656433
2023-10-25,10.964539
2023-10-26,12.890503
2023-10-27,11.356873
2023-10-28,12.210236
2023-10-29,10.8497925
2023-10-30,12.051788
2023-10-31,11.649536
2023-11-01,12.455841
2023-11-02,10.268066
2023-11-03,10.45636
2023-11-04,9.730774
2023-11-05,10.595825
2023-11-06,10.204895
2023-11-07,9.262726
2023-11-08,11.087219
2023-11-09,8.662872
2023-11-10,7.3376465
2023-11-11,6.919739
2023-11-12,7.4735107
2023-11-13,13.54187
2023-11-14,10.917114
2023-11-15,9.770081
2023-11-16,6.5509033
2023-11-17,7.321411
2023-11-18,13.233154
2023-11-19,12.526978
2023-11-20,9.772095
2023-11-21,9.637695
2023-11-22,7.9020386
2023-11-23,11.525848
2023-11-24,7.56308
2023-11-25,2.6878052
2023-11-26,2.4380493
2023-11-27,7.770691
2023-11-28,4.9369507
2023-11-29,2.6282654
2023-11-30,1.1326904
2023-12-01,0.62719727
2023-12-02,-1.6752625
2023-12-03,5.9660034
2023-12-04,6.4415283
2023-12-05,5.428894
2023-12-06,2.6629333
2023-12-07,6.665161
2023-12-08,8.321472
2023-12-09,10.598145
2023-12-10,9.6085205
2023-12-11,9.507965
2023-12-12,9.946899
2023-12-13,7.0517883
2023-12-14,5.1523438
2023-12-15,7.418457
2023-12-16,10.020508
2023-12-17,9.396027
2023-12-18,10.412537
2023-12-19,10.310822
2023-12-20,8.386841
2023-12-21,12.287781
2023-12-22,11.18161
2023-12-23,10.340881
2023-12-24,13.071106
2023-12-25,11.905334
2023-12-26,7.4105835
2023-12-27,10.91806
2023-12-28,11.227936
2023-12-29,9.357819
2023-12-30,9.499756
2023-12-31,7.8579407
